"Variable","Variable Label"
"DQ19","Ate Poultry Yesterday"
"DQ19_IND","Ate Poultry Yesterday (India)"
"DQ20","Ate Fish and Seafood Yesterday"
"DQ20_IND","Ate Fish and Seafood Yesterday (India)"
"DQ20_ISRa","Ate Fish and Seafood Yesterday (Israel a)"
"DQ20_ISRb","Ate Fish and Seafood Yesterday (Israel b)"
"DQ21","Ate Nuts and Seeds Yesterday"
"DQ22","Ate Ultra-Processed Packaged Salty Snacks Yesterday"
"DQ23","Ate Instant Noodles Yesterday"
"DQ24","Ate Deep Fried Foods Yesterday"
"DQ25","Drank Fluid Milk Yesterday"
"DQ26","Drank Sweetened Tea/Coffee/Milk Drinks Yesterday"
"DQ27","Drank Fruit Juice Yesterday"
"DQ28","Drank SSBs/Sodas Yesterday"
"DQ29","Got Food From Fast Food Place Yesterday"
"Sex","Sex"
"FS","Food security"
"GL","Good life"
"Residence","Residence"
"COUNTRYNEW","COUNTRYNEW"
"WB","Questionnaire Serial Number"
"Education",""
"WBIG",""
"Region","Country ISO alpha-3 code"
