World_bank_income_group,Region,Country,ISO3,Income_Quantiles,Indicator,DQQ_question,Unit,Year,Start_Date,End_Date,Mean_prevalence,Lower_95_CI,Upper_95_CI
Upper middle,Europe and Central Asia,Turkey,TUR,All,Dietary diversity score,NA,Score,2021,28_09_2021,22_10_2021,6.53,6.36,6.7
Upper middle,Europe and Central Asia,Turkey,TUR,Poorest 20%,Dietary diversity score,NA,Score,2021,28_09_2021,22_10_2021,6.06,5.65,6.47
Upper middle,Europe and Central Asia,Turkey,TUR,Second 20%,Dietary diversity score,NA,Score,2021,28_09_2021,22_10_2021,6.3,5.89,6.7
Upper middle,Europe and Central Asia,Turkey,TUR,Middle 20%,Dietary diversity score,NA,Score,2021,28_09_2021,22_10_2021,6.52,6.15,6.88
Upper middle,Europe and Central Asia,Turkey,TUR,Fourth 20%,Dietary diversity score,NA,Score,2021,28_09_2021,22_10_2021,6.78,6.42,7.14
Upper middle,Europe and Central Asia,Turkey,TUR,Richest 20%,Dietary diversity score,NA,Score,2021,28_09_2021,22_10_2021,6.97,6.6,7.34
Upper middle,Europe and Central Asia,Turkey,TUR,All,NCD-Protect,NA,Score,2021,28_09_2021,22_10_2021,4.32,4.15,4.48
Upper middle,Europe and Central Asia,Turkey,TUR,Poorest 20%,NCD-Protect,NA,Score,2021,28_09_2021,22_10_2021,4.02,3.61,4.43
Upper middle,Europe and Central Asia,Turkey,TUR,Second 20%,NCD-Protect,NA,Score,2021,28_09_2021,22_10_2021,4.1,3.72,4.48
Upper middle,Europe and Central Asia,Turkey,TUR,Middle 20%,NCD-Protect,NA,Score,2021,28_09_2021,22_10_2021,4.23,3.89,4.58
Upper middle,Europe and Central Asia,Turkey,TUR,Fourth 20%,NCD-Protect,NA,Score,2021,28_09_2021,22_10_2021,4.46,4.13,4.8
Upper middle,Europe and Central Asia,Turkey,TUR,Richest 20%,NCD-Protect,NA,Score,2021,28_09_2021,22_10_2021,4.77,4.39,5.15
Upper middle,Europe and Central Asia,Turkey,TUR,All,NCD-Risk,NA,Score,2021,28_09_2021,22_10_2021,2.05,1.89,2.21
Upper middle,Europe and Central Asia,Turkey,TUR,Poorest 20%,NCD-Risk,NA,Score,2021,28_09_2021,22_10_2021,1.96,1.54,2.38
Upper middle,Europe and Central Asia,Turkey,TUR,Second 20%,NCD-Risk,NA,Score,2021,28_09_2021,22_10_2021,1.52,1.18,1.87
Upper middle,Europe and Central Asia,Turkey,TUR,Middle 20%,NCD-Risk,NA,Score,2021,28_09_2021,22_10_2021,1.8,1.49,2.12
Upper middle,Europe and Central Asia,Turkey,TUR,Fourth 20%,NCD-Risk,NA,Score,2021,28_09_2021,22_10_2021,2.44,2.09,2.8
Upper middle,Europe and Central Asia,Turkey,TUR,Richest 20%,NCD-Risk,NA,Score,2021,28_09_2021,22_10_2021,2.51,2.2,2.83
Upper middle,Europe and Central Asia,Turkey,TUR,All,GDR score,NA,Score,2021,28_09_2021,22_10_2021,11.27,11.1,11.45
Upper middle,Europe and Central Asia,Turkey,TUR,Poorest 20%,GDR score,NA,Score,2021,28_09_2021,22_10_2021,11.07,10.67,11.46
Upper middle,Europe and Central Asia,Turkey,TUR,Second 20%,GDR score,NA,Score,2021,28_09_2021,22_10_2021,11.57,11.2,11.95
Upper middle,Europe and Central Asia,Turkey,TUR,Middle 20%,GDR score,NA,Score,2021,28_09_2021,22_10_2021,11.43,11.06,11.8
Upper middle,Europe and Central Asia,Turkey,TUR,Fourth 20%,GDR score,NA,Score,2021,28_09_2021,22_10_2021,11.02,10.62,11.42
Upper middle,Europe and Central Asia,Turkey,TUR,Richest 20%,GDR score,NA,Score,2021,28_09_2021,22_10_2021,11.27,10.86,11.68
Lower middle,Asia Pacific,Pakistan,PAK,All,Dietary diversity score,NA,Score,2021,16_10_2021,14_12_2021,4.97,4.74,5.2
Lower middle,Asia Pacific,Pakistan,PAK,Poorest 20%,Dietary diversity score,NA,Score,2021,16_10_2021,14_12_2021,4.68,4.23,5.12
Lower middle,Asia Pacific,Pakistan,PAK,Second 20%,Dietary diversity score,NA,Score,2021,16_10_2021,14_12_2021,5.13,4.68,5.57
Lower middle,Asia Pacific,Pakistan,PAK,Middle 20%,Dietary diversity score,NA,Score,2021,16_10_2021,14_12_2021,4.58,4.31,4.85
Lower middle,Asia Pacific,Pakistan,PAK,Fourth 20%,Dietary diversity score,NA,Score,2021,16_10_2021,14_12_2021,5.23,4.88,5.58
Lower middle,Asia Pacific,Pakistan,PAK,Richest 20%,Dietary diversity score,NA,Score,2021,16_10_2021,14_12_2021,5.24,4.93,5.54
Lower middle,Asia Pacific,Pakistan,PAK,All,NCD-Protect,NA,Score,2021,16_10_2021,14_12_2021,3.18,3.02,3.34
Lower middle,Asia Pacific,Pakistan,PAK,Poorest 20%,NCD-Protect,NA,Score,2021,16_10_2021,14_12_2021,3.15,2.82,3.48
Lower middle,Asia Pacific,Pakistan,PAK,Second 20%,NCD-Protect,NA,Score,2021,16_10_2021,14_12_2021,3.52,3.21,3.83
Lower middle,Asia Pacific,Pakistan,PAK,Middle 20%,NCD-Protect,NA,Score,2021,16_10_2021,14_12_2021,2.88,2.69,3.07
Lower middle,Asia Pacific,Pakistan,PAK,Fourth 20%,NCD-Protect,NA,Score,2021,16_10_2021,14_12_2021,3.31,3.03,3.6
Lower middle,Asia Pacific,Pakistan,PAK,Richest 20%,NCD-Protect,NA,Score,2021,16_10_2021,14_12_2021,3.03,2.79,3.28
Lower middle,Asia Pacific,Pakistan,PAK,All,NCD-Risk,NA,Score,2021,16_10_2021,14_12_2021,1.38,1.2,1.55
Lower middle,Asia Pacific,Pakistan,PAK,Poorest 20%,NCD-Risk,NA,Score,2021,16_10_2021,14_12_2021,1.33,0.98,1.67
Lower middle,Asia Pacific,Pakistan,PAK,Second 20%,NCD-Risk,NA,Score,2021,16_10_2021,14_12_2021,1.27,0.95,1.59
Lower middle,Asia Pacific,Pakistan,PAK,Middle 20%,NCD-Risk,NA,Score,2021,16_10_2021,14_12_2021,1.08,0.85,1.3
Lower middle,Asia Pacific,Pakistan,PAK,Fourth 20%,NCD-Risk,NA,Score,2021,16_10_2021,14_12_2021,1.51,1.21,1.81
Lower middle,Asia Pacific,Pakistan,PAK,Richest 20%,NCD-Risk,NA,Score,2021,16_10_2021,14_12_2021,1.71,1.46,1.96
Lower middle,Asia Pacific,Pakistan,PAK,All,GDR score,NA,Score,2021,16_10_2021,14_12_2021,10.8,10.63,10.96
Lower middle,Asia Pacific,Pakistan,PAK,Poorest 20%,GDR score,NA,Score,2021,16_10_2021,14_12_2021,10.83,10.55,11.1
Lower middle,Asia Pacific,Pakistan,PAK,Second 20%,GDR score,NA,Score,2021,16_10_2021,14_12_2021,11.25,10.9,11.6
Lower middle,Asia Pacific,Pakistan,PAK,Middle 20%,GDR score,NA,Score,2021,16_10_2021,14_12_2021,10.8,10.55,11.05
Lower middle,Asia Pacific,Pakistan,PAK,Fourth 20%,GDR score,NA,Score,2021,16_10_2021,14_12_2021,10.8,10.45,11.16
Lower middle,Asia Pacific,Pakistan,PAK,Richest 20%,GDR score,NA,Score,2021,16_10_2021,14_12_2021,10.31,10.06,10.56
Lower middle,Asia Pacific,Indonesia,IDN,All,Dietary diversity score,NA,Score,2021,07_07_2021,15_10_2021,6.81,6.6,7.03
Lower middle,Asia Pacific,Indonesia,IDN,Poorest 20%,Dietary diversity score,NA,Score,2021,07_07_2021,15_10_2021,6.46,6.04,6.88
Lower middle,Asia Pacific,Indonesia,IDN,Second 20%,Dietary diversity score,NA,Score,2021,07_07_2021,15_10_2021,7.03,6.64,7.42
Lower middle,Asia Pacific,Indonesia,IDN,Middle 20%,Dietary diversity score,NA,Score,2021,07_07_2021,15_10_2021,6.96,6.6,7.31
Lower middle,Asia Pacific,Indonesia,IDN,Fourth 20%,Dietary diversity score,NA,Score,2021,07_07_2021,15_10_2021,6.73,6.38,7.09
Lower middle,Asia Pacific,Indonesia,IDN,Richest 20%,Dietary diversity score,NA,Score,2021,07_07_2021,15_10_2021,6.88,6.5,7.27
Lower middle,Asia Pacific,Indonesia,IDN,All,NCD-Protect,NA,Score,2021,07_07_2021,15_10_2021,4.68,4.43,4.93
Lower middle,Asia Pacific,Indonesia,IDN,Poorest 20%,NCD-Protect,NA,Score,2021,07_07_2021,15_10_2021,4.43,3.95,4.91
Lower middle,Asia Pacific,Indonesia,IDN,Second 20%,NCD-Protect,NA,Score,2021,07_07_2021,15_10_2021,5,4.53,5.47
Lower middle,Asia Pacific,Indonesia,IDN,Middle 20%,NCD-Protect,NA,Score,2021,07_07_2021,15_10_2021,4.77,4.44,5.11
Lower middle,Asia Pacific,Indonesia,IDN,Fourth 20%,NCD-Protect,NA,Score,2021,07_07_2021,15_10_2021,4.54,4.08,4.99
Lower middle,Asia Pacific,Indonesia,IDN,Richest 20%,NCD-Protect,NA,Score,2021,07_07_2021,15_10_2021,4.67,4.24,5.1
Lower middle,Asia Pacific,Indonesia,IDN,All,NCD-Risk,NA,Score,2021,07_07_2021,15_10_2021,3.12,2.89,3.36
Lower middle,Asia Pacific,Indonesia,IDN,Poorest 20%,NCD-Risk,NA,Score,2021,07_07_2021,15_10_2021,2.87,2.35,3.39
Lower middle,Asia Pacific,Indonesia,IDN,Second 20%,NCD-Risk,NA,Score,2021,07_07_2021,15_10_2021,3.11,2.81,3.41
Lower middle,Asia Pacific,Indonesia,IDN,Middle 20%,NCD-Risk,NA,Score,2021,07_07_2021,15_10_2021,3.06,2.61,3.52
Lower middle,Asia Pacific,Indonesia,IDN,Fourth 20%,NCD-Risk,NA,Score,2021,07_07_2021,15_10_2021,3.26,2.93,3.59
Lower middle,Asia Pacific,Indonesia,IDN,Richest 20%,NCD-Risk,NA,Score,2021,07_07_2021,15_10_2021,3.31,2.89,3.73
Lower middle,Asia Pacific,Indonesia,IDN,All,GDR score,NA,Score,2021,07_07_2021,15_10_2021,10.56,10.35,10.78
Lower middle,Asia Pacific,Indonesia,IDN,Poorest 20%,GDR score,NA,Score,2021,07_07_2021,15_10_2021,10.56,10.12,11
Lower middle,Asia Pacific,Indonesia,IDN,Second 20%,GDR score,NA,Score,2021,07_07_2021,15_10_2021,10.9,10.39,11.4
Lower middle,Asia Pacific,Indonesia,IDN,Middle 20%,GDR score,NA,Score,2021,07_07_2021,15_10_2021,10.71,10.35,11.07
Lower middle,Asia Pacific,Indonesia,IDN,Fourth 20%,GDR score,NA,Score,2021,07_07_2021,15_10_2021,10.29,9.91,10.66
Lower middle,Asia Pacific,Indonesia,IDN,Richest 20%,GDR score,NA,Score,2021,07_07_2021,15_10_2021,10.36,10.02,10.71
Lower middle,Asia Pacific,Bangladesh,BGD,All,Dietary diversity score,NA,Score,2021,27_02_2022,30_03_2022,4.79,4.64,4.93
Lower middle,Asia Pacific,Bangladesh,BGD,Poorest 20%,Dietary diversity score,NA,Score,2021,27_02_2022,30_03_2022,4.5,4.27,4.72
Lower middle,Asia Pacific,Bangladesh,BGD,Second 20%,Dietary diversity score,NA,Score,2021,27_02_2022,30_03_2022,4.75,4.45,5.05
Lower middle,Asia Pacific,Bangladesh,BGD,Middle 20%,Dietary diversity score,NA,Score,2021,27_02_2022,30_03_2022,4.9,4.61,5.18
Lower middle,Asia Pacific,Bangladesh,BGD,Fourth 20%,Dietary diversity score,NA,Score,2021,27_02_2022,30_03_2022,4.76,4.47,5.04
Lower middle,Asia Pacific,Bangladesh,BGD,Richest 20%,Dietary diversity score,NA,Score,2021,27_02_2022,30_03_2022,5.03,4.65,5.41
Lower middle,Asia Pacific,Bangladesh,BGD,All,NCD-Protect,NA,Score,2021,27_02_2022,30_03_2022,2.87,2.73,3.01
Lower middle,Asia Pacific,Bangladesh,BGD,Poorest 20%,NCD-Protect,NA,Score,2021,27_02_2022,30_03_2022,2.6,2.37,2.83
Lower middle,Asia Pacific,Bangladesh,BGD,Second 20%,NCD-Protect,NA,Score,2021,27_02_2022,30_03_2022,3.04,2.72,3.36
Lower middle,Asia Pacific,Bangladesh,BGD,Middle 20%,NCD-Protect,NA,Score,2021,27_02_2022,30_03_2022,2.79,2.55,3.04
Lower middle,Asia Pacific,Bangladesh,BGD,Fourth 20%,NCD-Protect,NA,Score,2021,27_02_2022,30_03_2022,2.76,2.56,2.96
Lower middle,Asia Pacific,Bangladesh,BGD,Richest 20%,NCD-Protect,NA,Score,2021,27_02_2022,30_03_2022,3.16,2.78,3.53
Lower middle,Asia Pacific,Bangladesh,BGD,All,NCD-Risk,NA,Score,2021,27_02_2022,30_03_2022,1.48,1.35,1.61
Lower middle,Asia Pacific,Bangladesh,BGD,Poorest 20%,NCD-Risk,NA,Score,2021,27_02_2022,30_03_2022,1.26,1.01,1.51
Lower middle,Asia Pacific,Bangladesh,BGD,Second 20%,NCD-Risk,NA,Score,2021,27_02_2022,30_03_2022,1.28,1.07,1.49
Lower middle,Asia Pacific,Bangladesh,BGD,Middle 20%,NCD-Risk,NA,Score,2021,27_02_2022,30_03_2022,1.49,1.23,1.75
Lower middle,Asia Pacific,Bangladesh,BGD,Fourth 20%,NCD-Risk,NA,Score,2021,27_02_2022,30_03_2022,1.55,1.33,1.77
Lower middle,Asia Pacific,Bangladesh,BGD,Richest 20%,NCD-Risk,NA,Score,2021,27_02_2022,30_03_2022,1.81,1.55,2.07
Lower middle,Asia Pacific,Bangladesh,BGD,All,GDR score,NA,Score,2021,27_02_2022,30_03_2022,10.39,10.25,10.53
Lower middle,Asia Pacific,Bangladesh,BGD,Poorest 20%,GDR score,NA,Score,2021,27_02_2022,30_03_2022,10.34,10.13,10.55
Lower middle,Asia Pacific,Bangladesh,BGD,Second 20%,GDR score,NA,Score,2021,27_02_2022,30_03_2022,10.75,10.43,11.08
Lower middle,Asia Pacific,Bangladesh,BGD,Middle 20%,GDR score,NA,Score,2021,27_02_2022,30_03_2022,10.3,9.98,10.63
Lower middle,Asia Pacific,Bangladesh,BGD,Fourth 20%,GDR score,NA,Score,2021,27_02_2022,30_03_2022,10.21,9.95,10.47
Lower middle,Asia Pacific,Bangladesh,BGD,Richest 20%,GDR score,NA,Score,2021,27_02_2022,30_03_2022,10.34,10,10.69
Upper middle,Asia Pacific,China,CHN,All,Dietary diversity score,NA,Score,2021,26_09_2021,16_12_2021,6.65,6.54,6.76
Upper middle,Asia Pacific,China,CHN,Poorest 20%,Dietary diversity score,NA,Score,2021,26_09_2021,16_12_2021,5.95,5.69,6.21
Upper middle,Asia Pacific,China,CHN,Second 20%,Dietary diversity score,NA,Score,2021,26_09_2021,16_12_2021,6.69,6.43,6.95
Upper middle,Asia Pacific,China,CHN,Middle 20%,Dietary diversity score,NA,Score,2021,26_09_2021,16_12_2021,6.92,6.68,7.16
Upper middle,Asia Pacific,China,CHN,Fourth 20%,Dietary diversity score,NA,Score,2021,26_09_2021,16_12_2021,6.79,6.54,7.05
Upper middle,Asia Pacific,China,CHN,Richest 20%,Dietary diversity score,NA,Score,2021,26_09_2021,16_12_2021,6.88,6.73,7.04
Upper middle,Asia Pacific,China,CHN,All,NCD-Protect,NA,Score,2021,26_09_2021,16_12_2021,4.63,4.52,4.73
Upper middle,Asia Pacific,China,CHN,Poorest 20%,NCD-Protect,NA,Score,2021,26_09_2021,16_12_2021,4.15,3.88,4.41
Upper middle,Asia Pacific,China,CHN,Second 20%,NCD-Protect,NA,Score,2021,26_09_2021,16_12_2021,4.72,4.48,4.97
Upper middle,Asia Pacific,China,CHN,Middle 20%,NCD-Protect,NA,Score,2021,26_09_2021,16_12_2021,4.85,4.6,5.1
Upper middle,Asia Pacific,China,CHN,Fourth 20%,NCD-Protect,NA,Score,2021,26_09_2021,16_12_2021,4.71,4.47,4.95
Upper middle,Asia Pacific,China,CHN,Richest 20%,NCD-Protect,NA,Score,2021,26_09_2021,16_12_2021,4.69,4.51,4.86
Upper middle,Asia Pacific,China,CHN,All,NCD-Risk,NA,Score,2021,26_09_2021,16_12_2021,2.4,2.3,2.49
Upper middle,Asia Pacific,China,CHN,Poorest 20%,NCD-Risk,NA,Score,2021,26_09_2021,16_12_2021,1.79,1.61,1.98
Upper middle,Asia Pacific,China,CHN,Second 20%,NCD-Risk,NA,Score,2021,26_09_2021,16_12_2021,2.3,2.11,2.5
Upper middle,Asia Pacific,China,CHN,Middle 20%,NCD-Risk,NA,Score,2021,26_09_2021,16_12_2021,2.66,2.4,2.91
Upper middle,Asia Pacific,China,CHN,Fourth 20%,NCD-Risk,NA,Score,2021,26_09_2021,16_12_2021,2.67,2.47,2.88
Upper middle,Asia Pacific,China,CHN,Richest 20%,NCD-Risk,NA,Score,2021,26_09_2021,16_12_2021,2.55,2.38,2.72
Upper middle,Asia Pacific,China,CHN,All,GDR score,NA,Score,2021,26_09_2021,16_12_2021,11.23,11.11,11.34
Upper middle,Asia Pacific,China,CHN,Poorest 20%,GDR score,NA,Score,2021,26_09_2021,16_12_2021,11.34,11.1,11.59
Upper middle,Asia Pacific,China,CHN,Second 20%,GDR score,NA,Score,2021,26_09_2021,16_12_2021,11.42,11.16,11.69
Upper middle,Asia Pacific,China,CHN,Middle 20%,GDR score,NA,Score,2021,26_09_2021,16_12_2021,11.19,10.92,11.47
Upper middle,Asia Pacific,China,CHN,Fourth 20%,GDR score,NA,Score,2021,26_09_2021,16_12_2021,11.04,10.78,11.3
Upper middle,Asia Pacific,China,CHN,Richest 20%,GDR score,NA,Score,2021,26_09_2021,16_12_2021,11.14,10.92,11.35
Lower middle,Asia Pacific,India,IND,All,Dietary diversity score,NA,Score,2021,30_07_2021,18_10_2021,4.64,4.48,4.8
Lower middle,Asia Pacific,India,IND,Poorest 20%,Dietary diversity score,NA,Score,2021,30_07_2021,18_10_2021,3.98,3.68,4.28
Lower middle,Asia Pacific,India,IND,Second 20%,Dietary diversity score,NA,Score,2021,30_07_2021,18_10_2021,4.1,3.8,4.4
Lower middle,Asia Pacific,India,IND,Middle 20%,Dietary diversity score,NA,Score,2021,30_07_2021,18_10_2021,4.48,4.25,4.7
Lower middle,Asia Pacific,India,IND,Fourth 20%,Dietary diversity score,NA,Score,2021,30_07_2021,18_10_2021,5.12,4.87,5.36
Lower middle,Asia Pacific,India,IND,Richest 20%,Dietary diversity score,NA,Score,2021,30_07_2021,18_10_2021,5.52,5.27,5.77
Lower middle,Asia Pacific,India,IND,All,NCD-Protect,NA,Score,2021,30_07_2021,18_10_2021,3.35,3.19,3.5
Lower middle,Asia Pacific,India,IND,Poorest 20%,NCD-Protect,NA,Score,2021,30_07_2021,18_10_2021,3.08,2.79,3.37
Lower middle,Asia Pacific,India,IND,Second 20%,NCD-Protect,NA,Score,2021,30_07_2021,18_10_2021,3.06,2.78,3.34
Lower middle,Asia Pacific,India,IND,Middle 20%,NCD-Protect,NA,Score,2021,30_07_2021,18_10_2021,3.18,2.98,3.39
Lower middle,Asia Pacific,India,IND,Fourth 20%,NCD-Protect,NA,Score,2021,30_07_2021,18_10_2021,3.53,3.32,3.75
Lower middle,Asia Pacific,India,IND,Richest 20%,NCD-Protect,NA,Score,2021,30_07_2021,18_10_2021,3.87,3.63,4.11
Lower middle,Asia Pacific,India,IND,All,NCD-Risk,NA,Score,2021,30_07_2021,18_10_2021,1.49,1.35,1.63
Lower middle,Asia Pacific,India,IND,Poorest 20%,NCD-Risk,NA,Score,2021,30_07_2021,18_10_2021,1.2,0.95,1.45
Lower middle,Asia Pacific,India,IND,Second 20%,NCD-Risk,NA,Score,2021,30_07_2021,18_10_2021,1.13,0.91,1.35
Lower middle,Asia Pacific,India,IND,Middle 20%,NCD-Risk,NA,Score,2021,30_07_2021,18_10_2021,1.38,1.2,1.56
Lower middle,Asia Pacific,India,IND,Fourth 20%,NCD-Risk,NA,Score,2021,30_07_2021,18_10_2021,1.73,1.48,1.98
Lower middle,Asia Pacific,India,IND,Richest 20%,NCD-Risk,NA,Score,2021,30_07_2021,18_10_2021,1.99,1.74,2.23
Lower middle,Asia Pacific,India,IND,All,GDR score,NA,Score,2021,30_07_2021,18_10_2021,10.86,10.76,10.96
Lower middle,Asia Pacific,India,IND,Poorest 20%,GDR score,NA,Score,2021,30_07_2021,18_10_2021,10.87,10.71,11.03
Lower middle,Asia Pacific,India,IND,Second 20%,GDR score,NA,Score,2021,30_07_2021,18_10_2021,10.93,10.73,11.13
Lower middle,Asia Pacific,India,IND,Middle 20%,GDR score,NA,Score,2021,30_07_2021,18_10_2021,10.81,10.61,11
Lower middle,Asia Pacific,India,IND,Fourth 20%,GDR score,NA,Score,2021,30_07_2021,18_10_2021,10.8,10.59,11.01
Lower middle,Asia Pacific,India,IND,Richest 20%,GDR score,NA,Score,2021,30_07_2021,18_10_2021,10.88,10.7,11.07
High,Middle East and North Africa,Israel,ISR,All,Dietary diversity score,NA,Score,2021,15_08_2021,26_11_2021,6.62,6.41,6.82
High,Middle East and North Africa,Israel,ISR,Poorest 20%,Dietary diversity score,NA,Score,2021,15_08_2021,26_11_2021,6.33,5.88,6.77
High,Middle East and North Africa,Israel,ISR,Second 20%,Dietary diversity score,NA,Score,2021,15_08_2021,26_11_2021,6.73,6.36,7.1
High,Middle East and North Africa,Israel,ISR,Middle 20%,Dietary diversity score,NA,Score,2021,15_08_2021,26_11_2021,6.66,6.41,6.91
