World_bank_income_group,Region,Country,ISO3,Subgroup,Indicator,DQQ,Year,Mean_prevalence,Lower_95_CI,Upper_95_CI
Upper middle,Europe and Central Asia,Turkey,TUR,All,GDR score,NA,2021,11.27,11.1,11.45
Upper middle,Europe and Central Asia,Turkey,TUR,Male,GDR score,NA,2021,11.16,10.92,11.4
Upper middle,Europe and Central Asia,Turkey,TUR,Female,GDR score,NA,2021,11.39,11.13,11.65
Upper middle,Europe and Central Asia,Turkey,TUR,Urban,GDR score,NA,2021,11.24,11.03,11.44
Upper middle,Europe and Central Asia,Turkey,TUR,Rural,GDR score,NA,2021,11.36,11.02,11.71
Lower middle,Asia Pacific,Pakistan,PAK,All,Food group diversity score,NA,2021,4.97,4.74,5.2
Lower middle,Asia Pacific,Pakistan,PAK,Male,Food group diversity score,NA,2021,4.96,4.7,5.23
Lower middle,Asia Pacific,Pakistan,PAK,Female,Food group diversity score,NA,2021,4.98,4.68,5.28
Lower middle,Asia Pacific,Pakistan,PAK,Urban,Food group diversity score,NA,2021,5.24,4.91,5.57
Lower middle,Asia Pacific,Pakistan,PAK,Rural,Food group diversity score,NA,2021,4.83,4.53,5.12
Lower middle,Asia Pacific,Pakistan,PAK,All,NCD-Protect,NA,2021,3.18,3.02,3.34
Lower middle,Asia Pacific,Pakistan,PAK,Male,NCD-Protect,NA,2021,3.16,2.95,3.38
Lower middle,Asia Pacific,Pakistan,PAK,Female,NCD-Protect,NA,2021,3.19,2.97,3.42
Lower middle,Asia Pacific,Pakistan,PAK,Urban,NCD-Protect,NA,2021,3.22,2.96,3.47
Lower middle,Asia Pacific,Pakistan,PAK,Rural,NCD-Protect,NA,2021,3.16,2.96,3.36
Lower middle,Asia Pacific,Pakistan,PAK,All,NCD-Risk,NA,2021,1.38,1.21,1.55
Lower middle,Asia Pacific,Pakistan,PAK,Male,NCD-Risk,NA,2021,1.25,1.04,1.47
Lower middle,Asia Pacific,Pakistan,PAK,Female,NCD-Risk,NA,2021,1.51,1.32,1.71
Lower middle,Asia Pacific,Pakistan,PAK,Urban,NCD-Risk,NA,2021,1.69,1.42,1.95
Lower middle,Asia Pacific,Pakistan,PAK,Rural,NCD-Risk,NA,2021,1.22,1,1.43
Lower middle,Asia Pacific,Pakistan,PAK,All,GDR score,NA,2021,10.8,10.63,10.96
Lower middle,Asia Pacific,Pakistan,PAK,Male,GDR score,NA,2021,10.91,10.68,11.15
Lower middle,Asia Pacific,Pakistan,PAK,Female,GDR score,NA,2021,10.68,10.46,10.9
Lower middle,Asia Pacific,Pakistan,PAK,Urban,GDR score,NA,2021,10.53,10.33,10.72
Lower middle,Asia Pacific,Pakistan,PAK,Rural,GDR score,NA,2021,10.94,10.71,11.17
Lower middle,Asia Pacific,Indonesia,IDN,All,Food group diversity score,NA,2021,6.81,6.6,7.03
Lower middle,Asia Pacific,Indonesia,IDN,Male,Food group diversity score,NA,2021,6.66,6.39,6.94
Lower middle,Asia Pacific,Indonesia,IDN,Female,Food group diversity score,NA,2021,6.96,6.71,7.2
Lower middle,Asia Pacific,Indonesia,IDN,Urban,Food group diversity score,NA,2021,7.09,6.79,7.39
Lower middle,Asia Pacific,Indonesia,IDN,Rural,Food group diversity score,NA,2021,6.7,6.43,6.96
Lower middle,Asia Pacific,Indonesia,IDN,All,NCD-Protect,NA,2021,4.68,4.43,4.93
Lower middle,Asia Pacific,Indonesia,IDN,Male,NCD-Protect,NA,2021,4.47,4.16,4.77
Lower middle,Asia Pacific,Indonesia,IDN,Female,NCD-Protect,NA,2021,4.89,4.61,5.17
Lower middle,Asia Pacific,Indonesia,IDN,Urban,NCD-Protect,NA,2021,4.97,4.63,5.3
Lower middle,Asia Pacific,Indonesia,IDN,Rural,NCD-Protect,NA,2021,4.57,4.26,4.87
Lower middle,Asia Pacific,Indonesia,IDN,All,NCD-Risk,NA,2021,3.12,2.89,3.36
Lower middle,Asia Pacific,Indonesia,IDN,Male,NCD-Risk,NA,2021,2.95,2.62,3.27
Lower middle,Asia Pacific,Indonesia,IDN,Female,NCD-Risk,NA,2021,3.29,2.98,3.6
Lower middle,Asia Pacific,Indonesia,IDN,Urban,NCD-Risk,NA,2021,3.69,3.3,4.09
Lower middle,Asia Pacific,Indonesia,IDN,Rural,NCD-Risk,NA,2021,2.89,2.62,3.16
Lower middle,Asia Pacific,Indonesia,IDN,All,GDR score,NA,2021,10.56,10.35,10.78
Lower middle,Asia Pacific,Indonesia,IDN,Male,GDR score,NA,2021,10.52,10.25,10.8
Lower middle,Asia Pacific,Indonesia,IDN,Female,GDR score,NA,2021,10.6,10.31,10.89
Lower middle,Asia Pacific,Indonesia,IDN,Urban,GDR score,NA,2021,10.28,9.99,10.57
Lower middle,Asia Pacific,Indonesia,IDN,Rural,GDR score,NA,2021,10.68,10.39,10.96
Lower middle,Asia Pacific,Bangladesh,BGD,All,Food group diversity score,NA,2021,4.79,4.64,4.93
Lower middle,Asia Pacific,Bangladesh,BGD,Male,Food group diversity score,NA,2021,4.78,4.55,5.02
Lower middle,Asia Pacific,Bangladesh,BGD,Female,Food group diversity score,NA,2021,4.79,4.63,4.95
Lower middle,Asia Pacific,Bangladesh,BGD,Urban,Food group diversity score,NA,2021,4.62,4.17,5.06
Lower middle,Asia Pacific,Bangladesh,BGD,Rural,Food group diversity score,NA,2021,4.81,4.66,4.97
Lower middle,Asia Pacific,Bangladesh,BGD,All,NCD-Protect,NA,2021,2.87,2.73,3.01
Lower middle,Asia Pacific,Bangladesh,BGD,Male,NCD-Protect,NA,2021,2.89,2.67,3.11
Lower middle,Asia Pacific,Bangladesh,BGD,Female,NCD-Protect,NA,2021,2.86,2.69,3.03
Lower middle,Asia Pacific,Bangladesh,BGD,Urban,NCD-Protect,NA,2021,2.97,2.53,3.4
Lower middle,Asia Pacific,Bangladesh,BGD,Rural,NCD-Protect,NA,2021,2.86,2.71,3
Lower middle,Asia Pacific,Bangladesh,BGD,All,NCD-Risk,NA,2021,1.48,1.35,1.61
Lower middle,Asia Pacific,Bangladesh,BGD,Male,NCD-Risk,NA,2021,1.62,1.45,1.8
Lower middle,Asia Pacific,Bangladesh,BGD,Female,NCD-Risk,NA,2021,1.34,1.17,1.52
Lower middle,Asia Pacific,Bangladesh,BGD,Urban,NCD-Risk,NA,2021,1.82,1.2,2.44
Lower middle,Asia Pacific,Bangladesh,BGD,Rural,NCD-Risk,NA,2021,1.43,1.31,1.55
Lower middle,Asia Pacific,Bangladesh,BGD,All,GDR score,NA,2021,10.39,10.25,10.53
Lower middle,Asia Pacific,Bangladesh,BGD,Male,GDR score,NA,2021,10.26,10,10.52
Lower middle,Asia Pacific,Bangladesh,BGD,Female,GDR score,NA,2021,10.51,10.36,10.66
Lower middle,Asia Pacific,Bangladesh,BGD,Urban,GDR score,NA,2021,10.15,9.7,10.59
Lower middle,Asia Pacific,Bangladesh,BGD,Rural,GDR score,NA,2021,10.43,10.28,10.58
Upper middle,Asia Pacific,China,CHN,All,Food group diversity score,NA,2021,6.65,6.54,6.76
Upper middle,Asia Pacific,China,CHN,Male,Food group diversity score,NA,2021,6.46,6.3,6.61
Upper middle,Asia Pacific,China,CHN,Female,Food group diversity score,NA,2021,6.85,6.7,6.99
Upper middle,Asia Pacific,China,CHN,Urban,Food group diversity score,NA,2021,6.78,6.64,6.92
Upper middle,Asia Pacific,China,CHN,Rural,Food group diversity score,NA,2021,6.48,6.32,6.65
Upper middle,Asia Pacific,China,CHN,All,NCD-Protect,NA,2021,4.63,4.52,4.73
Upper middle,Asia Pacific,China,CHN,Male,NCD-Protect,NA,2021,4.45,4.29,4.61
Upper middle,Asia Pacific,China,CHN,Female,NCD-Protect,NA,2021,4.81,4.67,4.95
Upper middle,Asia Pacific,China,CHN,Urban,NCD-Protect,NA,2021,4.67,4.53,4.81
Upper middle,Asia Pacific,China,CHN,Rural,NCD-Protect,NA,2021,4.57,4.4,4.73
Upper middle,Asia Pacific,China,CHN,All,NCD-Risk,NA,2021,2.4,2.3,2.49
Upper middle,Asia Pacific,China,CHN,Male,NCD-Risk,NA,2021,2.48,2.34,2.61
Upper middle,Asia Pacific,China,CHN,Female,NCD-Risk,NA,2021,2.31,2.19,2.43
Upper middle,Asia Pacific,China,CHN,Urban,NCD-Risk,NA,2021,2.54,2.41,2.66
Upper middle,Asia Pacific,China,CHN,Rural,NCD-Risk,NA,2021,2.22,2.08,2.35
Upper middle,Asia Pacific,China,CHN,All,GDR score,NA,2021,11.23,11.11,11.34
Upper middle,Asia Pacific,China,CHN,Male,GDR score,NA,2021,10.97,10.81,11.12
Upper middle,Asia Pacific,China,CHN,Female,GDR score,NA,2021,11.5,11.33,11.66
Upper middle,Asia Pacific,China,CHN,Urban,GDR score,NA,2021,11.13,10.98,11.29
Upper middle,Asia Pacific,China,CHN,Rural,GDR score,NA,2021,11.35,11.19,11.5
Lower middle,Asia Pacific,India,IND,All,Food group diversity score,NA,2021,4.64,4.48,4.8
Lower middle,Asia Pacific,India,IND,Male,Food group diversity score,NA,2021,4.85,4.66,5.04
Lower middle,Asia Pacific,India,IND,Female,Food group diversity score,NA,2021,4.42,4.21,4.62
Lower middle,Asia Pacific,India,IND,Urban,Food group diversity score,NA,2021,5.08,4.67,5.49
Lower middle,Asia Pacific,India,IND,Rural,Food group diversity score,NA,2021,4.5,4.33,4.68
Lower middle,Asia Pacific,India,IND,All,NCD-Protect,NA,2021,3.35,3.19,3.5
Lower middle,Asia Pacific,India,IND,Male,NCD-Protect,NA,2021,3.41,3.24,3.59
Lower middle,Asia Pacific,India,IND,Female,NCD-Protect,NA,2021,3.27,3.08,3.47
Lower middle,Asia Pacific,India,IND,Urban,NCD-Protect,NA,2021,3.52,3.16,3.88
Lower middle,Asia Pacific,India,IND,Rural,NCD-Protect,NA,2021,3.29,3.12,3.46
Lower middle,Asia Pacific,India,IND,All,NCD-Risk,NA,2021,1.49,1.35,1.63
Lower middle,Asia Pacific,India,IND,Male,NCD-Risk,NA,2021,1.63,1.44,1.81
Lower middle,Asia Pacific,India,IND,Female,NCD-Risk,NA,2021,1.34,1.17,1.5
Lower middle,Asia Pacific,India,IND,Urban,NCD-Risk,NA,2021,1.63,1.31,1.96
Lower middle,Asia Pacific,India,IND,Rural,NCD-Risk,NA,2021,1.44,1.29,1.59
Lower middle,Asia Pacific,India,IND,All,GDR score,NA,2021,10.86,10.76,10.96
Lower middle,Asia Pacific,India,IND,Male,GDR score,NA,2021,10.79,10.64,10.93
Lower middle,Asia Pacific,India,IND,Female,GDR score,NA,2021,10.94,10.81,11.07
Lower middle,Asia Pacific,India,IND,Urban,GDR score,NA,2021,10.89,10.66,11.12
Lower middle,Asia Pacific,India,IND,Rural,GDR score,NA,2021,10.85,10.73,10.97
High,Middle East and North Africa,Israel,ISR,All,Food group diversity score,NA,2021,6.62,6.41,6.82
High,Middle East and North Africa,Israel,ISR,Male,Food group diversity score,NA,2021,6.68,6.46,6.91
High,Middle East and North Africa,Israel,ISR,Female,Food group diversity score,NA,2021,6.55,6.32,6.77
High,Middle East and North Africa,Israel,ISR,Urban,Food group diversity score,NA,2021,6.59,6.39,6.8
High,Middle East and North Africa,Israel,ISR,Rural,Food group diversity score,NA,2021,6.69,6.15,7.24
High,Middle East and North Africa,Israel,ISR,All,NCD-Protect,NA,2021,4.03,3.82,4.24
High,Middle East and North Africa,Israel,ISR,Male,NCD-Protect,NA,2021,4.04,3.79,4.29
High,Middle East and North Africa,Israel,ISR,Female,NCD-Protect,NA,2021,4.02,3.79,4.26
High,Middle East and North Africa,Israel,ISR,Urban,NCD-Protect,NA,2021,3.96,3.74,4.17
High,Middle East and North Africa,Israel,ISR,Rural,NCD-Protect,NA,2021,4.32,3.82,4.82
High,Middle East and North Africa,Israel,ISR,All,NCD-Risk,NA,2021,3.04,2.78,3.3
High,Middle East and North Africa,Israel,ISR,Male,NCD-Risk,NA,2021,3.51,3.22,3.8
High,Middle East and North Africa,Israel,ISR,Female,NCD-Risk,NA,2021,2.59,2.29,2.89
High,Middle East and North Africa,Israel,ISR,Urban,NCD-Risk,NA,2021,3.04,2.75,3.33
High,Middle East and North Africa,Israel,ISR,Rural,NCD-Risk,NA,2021,3.04,2.54,3.53
High,Middle East and North Africa,Israel,ISR,All,GDR score,NA,2021,9.99,9.82,10.16
High,Middle East and North Africa,Israel,ISR,Male,GDR score,NA,2021,9.53,9.31,9.75
High,Middle East and North Africa,Israel,ISR,Female,GDR score,NA,2021,10.43,10.18,10.69
High,Middle East and North Africa,Israel,ISR,Urban,GDR score,NA,2021,9.91,9.72,10.11
High,Middle East and North Africa,Israel,ISR,Rural,GDR score,NA,2021,10.29,9.89,10.68
Lower middle,Asia Pacific,Vietnam,VNM,All,Food group diversity score,NA,2021,6.62,6.42,6.82
Lower middle,Asia Pacific,Vietnam,VNM,Male,Food group diversity score,NA,2021,6.45,6.17,6.73
Lower middle,Asia Pacific,Vietnam,VNM,Female,Food group diversity score,NA,2021,6.79,6.5,7.08
Lower middle,Asia Pacific,Vietnam,VNM,Urban,Food group diversity score,NA,2021,6.67,6.42,6.92
Lower middle,Asia Pacific,Vietnam,VNM,Rural,Food group diversity score,NA,2021,6.52,6.17,6.88
Lower middle,Asia Pacific,Vietnam,VNM,All,NCD-Protect,NA,2021,4.41,4.2,4.62
Lower middle,Asia Pacific,Vietnam,VNM,Male,NCD-Protect,NA,2021,4.34,4.05,4.63
Lower middle,Asia Pacific,Vietnam,VNM,Female,NCD-Protect,NA,2021,4.48,4.19,4.78
Lower middle,Asia Pacific,Vietnam,VNM,Urban,NCD-Protect,NA,2021,4.47,4.21,4.73
Lower middle,Asia Pacific,Vietnam,VNM,Rural,NCD-Protect,NA,2021,4.3,3.96,4.64
Lower middle,Asia Pacific,Vietnam,VNM,All,NCD-Risk,NA,2021,2.63,2.46,2.8
Lower middle,Asia Pacific,Vietnam,VNM,Male,NCD-Risk,NA,2021,2.73,2.5,2.96
Lower middle,Asia Pacific,Vietnam,VNM,Female,NCD-Risk,NA,2021,2.53,2.27,2.79
Lower middle,Asia Pacific,Vietnam,VNM,Urban,NCD-Risk,NA,2021,2.62,2.43,2.82
Lower middle,Asia Pacific,Vietnam,VNM,Rural,NCD-Risk,NA,2021,2.65,2.3,2.99
Lower middle,Asia Pacific,Vietnam,VNM,All,GDR score,NA,2021,10.78,10.55,11.01
Lower middle,Asia Pacific,Vietnam,VNM,Male,GDR score,NA,2021,10.61,10.31,10.91
Lower middle,Asia Pacific,Vietnam,VNM,Female,GDR score,NA,2021,10.95,10.6,11.3
Lower middle,Asia Pacific,Vietnam,VNM,Urban,GDR score,NA,2021,10.85,10.55,11.14
Lower middle,Asia Pacific,Vietnam,VNM,Rural,GDR score,NA,2021,10.65,10.28,11.03
Lower middle,Asia Pacific,Cambodia,KHM,All,Food group diversity score,NA,2021,5.2,5.03,5.36
Lower middle,Asia Pacific,Cambodia,KHM,Male,Food group diversity score,NA,2021,5.14,4.91,5.36
Lower middle,Asia Pacific,Cambodia,KHM,Female,Food group diversity score,NA,2021,5.25,5.02,5.47
Lower middle,Asia Pacific,Cambodia,KHM,Urban,Food group diversity score,NA,2021,5.27,4.7,5.85
Lower middle,Asia Pacific,Cambodia,KHM,Rural,Food group diversity score,NA,2021,5.18,5.01,5.36
Lower middle,Asia Pacific,Cambodia,KHM,All,NCD-Protect,NA,2021,2.86,2.7,3.01
Lower middle,Asia Pacific,Cambodia,KHM,Male,NCD-Protect,NA,2021,2.73,2.52,2.95
Lower middle,Asia Pacific,Cambodia,KHM,Female,NCD-Protect,NA,2021,2.96,2.76,3.17
Lower middle,Asia Pacific,Cambodia,KHM,Urban,NCD-Protect,NA,2021,2.94,2.4,3.47
Lower middle,Asia Pacific,Cambodia,KHM,Rural,NCD-Protect,NA,2021,2.84,2.68,3.01
Lower middle,Asia Pacific,Cambodia,KHM,All,NCD-Risk,NA,2021,1.82,1.68,1.95
Lower middle,Asia Pacific,Cambodia,KHM,Male,NCD-Risk,NA,2021,1.93,1.7,2.16
Lower middle,Asia Pacific,Cambodia,KHM,Female,NCD-Risk,NA,2021,1.72,1.56,1.87
Lower middle,Asia Pacific,Cambodia,KHM,Urban,NCD-Risk,NA,2021,1.73,1.37,2.09
Lower middle,Asia Pacific,Cambodia,KHM,Rural,NCD-Risk,NA,2021,1.83,1.68,1.98
Lower middle,Asia Pacific,Cambodia,KHM,All,GDR score,NA,2021,10.04,9.88,10.21
Lower middle,Asia Pacific,Cambodia,KHM,Male,GDR score,NA,2021,9.81,9.58,10.04
Lower middle,Asia Pacific,Cambodia,KHM,Female,GDR score,NA,2021,10.24,10.03,10.45
Lower middle,Asia Pacific,Cambodia,KHM,Urban,GDR score,NA,2021,10.21,9.74,10.68
Lower middle,Asia Pacific,Cambodia,KHM,Rural,GDR score,NA,2021,10.02,9.84,10.19
Lower middle,Asia Pacific,Laos,LAO,All,Food group diversity score,NA,2021,5.56,5.35,5.77
Lower middle,Asia Pacific,Laos,LAO,Male,Food group diversity score,NA,2021,5.35,4.98,5.71
Lower middle,Asia Pacific,Laos,LAO,Female,Food group diversity score,NA,2021,5.76,5.58,5.94
Lower middle,Asia Pacific,Laos,LAO,Urban,Food group diversity score,NA,2021,5.99,5.72,6.26
Lower middle,Asia Pacific,Laos,LAO,Rural,Food group diversity score,NA,2021,5.48,5.24,5.72
Lower middle,Asia Pacific,Laos,LAO,All,NCD-Protect,NA,2021,3.59,3.4,3.78
Lower middle,Asia Pacific,Laos,LAO,Male,NCD-Protect,NA,2021,3.4,3.07,3.73
Lower middle,Asia Pacific,Laos,LAO,Female,NCD-Protect,NA,2021,3.77,3.59,3.96
Lower middle,Asia Pacific,Laos,LAO,Urban,NCD-Protect,NA,2021,3.82,3.5,4.13
Lower middle,Asia Pacific,Laos,LAO,Rural,NCD-Protect,NA,2021,3.55,3.33,3.77
Lower middle,Asia Pacific,Laos,LAO,All,NCD-Risk,NA,2021,2.75,2.53,2.97
Lower middle,Asia Pacific,Laos,LAO,Male,NCD-Risk,NA,2021,2.54,2.21,2.88
Lower middle,Asia Pacific,Laos,LAO,Female,NCD-Risk,NA,2021,2.94,2.71,3.17
Lower middle,Asia Pacific,Laos,LAO,Urban,NCD-Risk,NA,2021,3.44,3.18,3.7
Lower middle,Asia Pacific,Laos,LAO,Rural,NCD-Risk,NA,2021,2.62,2.37,2.87
Lower middle,Asia Pacific,Laos,LAO,All,GDR score,NA,2021,9.84,9.64,10.05
Lower middle,Asia Pacific,Laos,LAO,Male,GDR score,NA,2021,9.86,9.57,10.15
Lower middle,Asia Pacific,Laos,LAO,Female,GDR score,NA,2021,9.83,9.62,10.04
Lower middle,Asia Pacific,Laos,LAO,Urban,GDR score,NA,2021,9.38,8.98,9.78
Lower middle,Asia Pacific,Laos,LAO,Rural,GDR score,NA,2021,9.93,9.7,10.15
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Food group diversity score,NA,2021,6.17,6,6.34
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Food group diversity score,NA,2021,6.07,5.84,6.29
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Food group diversity score,NA,2021,6.26,6.06,6.45
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Food group diversity score,NA,2021,6.2,6.04,6.37
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Food group diversity score,NA,2021,6.15,5.89,6.41
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,NCD-Protect,NA,2021,3.51,3.36,3.67
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,NCD-Protect,NA,2021,3.34,3.15,3.53
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,NCD-Protect,NA,2021,3.67,3.46,3.88
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,NCD-Protect,NA,2021,3.58,3.37,3.78
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,NCD-Protect,NA,2021,3.48,3.24,3.71
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,NCD-Risk,NA,2021,3.89,3.68,4.1
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,NCD-Risk,NA,2021,4.09,3.81,4.36
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,NCD-Risk,NA,2021,3.71,3.45,3.97
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,NCD-Risk,NA,2021,3.81,3.51,4.1
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,NCD-Risk,NA,2021,3.94,3.64,4.24
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,GDR score,NA,2021,8.61,8.42,8.81
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,GDR score,NA,2021,8.22,7.93,8.52
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,GDR score,NA,2021,8.96,8.73,9.19
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,GDR score,NA,2021,8.77,8.46,9.08
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,GDR score,NA,2021,8.52,8.26,8.77
Lower middle,Americas,Bolivia,BOL,All,Food group diversity score,NA,2021,6.64,6.47,6.81
Lower middle,Americas,Bolivia,BOL,Male,Food group diversity score,NA,2021,6.64,6.39,6.89
Lower middle,Americas,Bolivia,BOL,Female,Food group diversity score,NA,2021,6.64,6.41,6.88
Lower middle,Americas,Bolivia,BOL,Urban,Food group diversity score,NA,2021,6.63,6.41,6.85
Lower middle,Americas,Bolivia,BOL,Rural,Food group diversity score,NA,2021,6.65,6.38,6.93
Lower middle,Americas,Bolivia,BOL,All,NCD-Protect,NA,2021,4.69,4.51,4.88
Lower middle,Americas,Bolivia,BOL,Male,NCD-Protect,NA,2021,4.66,4.4,4.92
Lower middle,Americas,Bolivia,BOL,Female,NCD-Protect,NA,2021,4.73,4.48,4.98
Lower middle,Americas,Bolivia,BOL,Urban,NCD-Protect,NA,2021,4.7,4.47,4.93
Lower middle,Americas,Bolivia,BOL,Rural,NCD-Protect,NA,2021,4.68,4.38,4.97
Lower middle,Americas,Bolivia,BOL,All,NCD-Risk,NA,2021,2.68,2.49,2.87
Lower middle,Americas,Bolivia,BOL,Male,NCD-Risk,NA,2021,2.98,2.71,3.25
